Name,Age,Gender,Salary,Designation,Phone Number,Address
Siddavatam narayana Reddy,19,M,15363,Administrator,7272215302,"XYZ Villa, Kengeri"
Vazhamplackal Anusha Zacharias ,18,M,23370,Manager,9220372725,"XYZ Villa, Kengeri"
ANIRUDH MADHAVAN,15,F,17617,Teacher,10892862828,"XYZ Villa, Kengeri"
Jothika S,15,M,24683,Teacher,6567649600,"ABC Villa, Kengeri"
Alex Joseph,19,F,19204,Manager,7311017134,"ABC Villa, Kengeri"
Shambhavi.H.V,23,M,24226,Developer,4591444888,"XYZ Villa, Kengeri"
Vedant Agarwal ,20,F,17491,Teacher,5799456033,"ABC Villa, Kengeri"
Preksha Kothari,44,M,24645,Manager,1330324167,"XYZ Villa, Kengeri"
Anjaly Renny,15,F,19499,Teacher,9256623952,"ABC Villa, Kengeri"
Rachel Anitra,56,M,22767,Developer,4626196654,"ABC Villa, Kengeri"
Jeffri Jeevam,16,F,15623,Manager,10485099762,"XYZ Villa, Kengeri"
Vedant Singh Chauhan ,15,M,17177,Teacher,7071129820,"ABC Villa, Kengeri"
Abhinav Arora,15,F,20797,Manager,5651418986,"ABC Villa, Kengeri"
Shashank S ,17,F,21385,Manager,9350911289,"ABC Villa, Kengeri"
Saachie R Rai,24,F,23041,Manager,6264275152,"ABC Villa, Kengeri"
Sree Lekha S ,22,M,18442,Developer,1257422770,"XYZ Villa, Kengeri"
Aaron Antonio Johnson,23,M,23764,Developer,3227555015,"XYZ Villa, Kengeri"
Nelapati Haritha ,18,M,22893,Manager,4820223160,"XYZ Villa, Kengeri"
Abhinand Nair,18,M,16340,Developer,10768626432,"ABC Villa, Kengeri"
